,Call_ID,Time,Activity,#_in_FNOL_Que
0,1,1,join_fnol_que,0
1,2,1,join_fnol_que,0
2,1,1,start_fnol,0
3,2,1,start_fnol,0
4,1,2.508470729,end_fnol,0
5,1,2.508470729,join_adj_que,0
6,1,2.508470729,start_adj,0
7,3,3,join_fnol_que,0
8,3,3,start_fnol,0
9,2,4.63758815,end_fnol,0
10,2,4.63758815,redirected_to_other_dept,0
11,3,6.394047528,end_fnol,0
12,3,6.394047528,join_adj_que,0
13,3,6.394047528,start_adj,0
14,4,7,join_fnol_que,0
15,5,7,join_fnol_que,0
16,4,7,start_fnol,0
17,5,7,start_fnol,0
18,4,8.040320572,end_fnol,0
19,4,8.040320572,redirected_to_other_dept,0
20,5,8.052278347,end_fnol,0
21,5,8.052278347,redirected_to_other_dept,0
22,3,8.394047528,end_adj,0
23,6,9,join_fnol_que,0
24,6,9,start_fnol,0
25,1,9.262969321,end_adj,0
26,7,10,join_fnol_que,0
27,7,10,start_fnol,0
28,6,10.19172753,end_fnol,0
29,6,10.19172753,redirected_to_other_dept,0
30,8,11,join_fnol_que,0
31,9,11,join_fnol_que,0
32,8,11,start_fnol,0
33,9,11,start_fnol,0
34,10,13,join_fnol_que,0
35,10,13,start_fnol,0
36,8,13.65646478,end_fnol,0
37,8,13.65646478,redirected_to_other_dept,0
38,11,14,join_fnol_que,0
39,11,14,start_fnol,0
40,7,14.92903595,end_fnol,0
41,7,14.92903595,redirected_to_other_dept,0
42,9,15.79462638,end_fnol,0
43,9,15.79462638,join_adj_que,0
44,9,15.79462638,start_adj,0
45,10,15.88738312,end_fnol,0
46,10,15.88738312,join_adj_que,0
47,10,15.88738312,start_adj,0
48,12,16,join_fnol_que,0
49,13,16,join_fnol_que,0
50,12,16,start_fnol,0
51,13,16,start_fnol,0
52,11,16.61209526,end_fnol,0
53,11,16.61209526,redirected_to_other_dept,0
54,12,17.88374034,end_fnol,0
55,12,17.88374034,join_adj_que,0
56,12,17.88374034,start_adj,0
57,14,18,join_fnol_que,0
58,15,18,join_fnol_que,0
59,14,18,start_fnol,0
60,15,18,start_fnol,0
