,Call_ID,Time,Activity,#_in_FNOL_Que
178,43,37,join_fnol_que,0
179,41,37,start_fnol,0
180,44,37,join_fnol_que,0
181,42,37,start_fnol,1
182,43,37,start_fnol,1
183,29,37.00220036,renegged_adj,1
184,24,37.22083451,end_adj,1
185,33,37.22083451,start_adj,1
186,21,37.32290863,end_adj,1
187,35,37.32290863,start_adj,1
188,45,38,join_fnol_que,1
189,41,38.84192978,end_fnol,2
190,41,38.84192978,join_adj_que,2
191,44,38.84192978,start_fnol,1
192,46,39,join_fnol_que,1
193,47,39,join_fnol_que,2
194,43,39.16563902,end_fnol,3
195,43,39.16563902,redirected_to_other_dept,3
196,45,39.16563902,start_fnol,2
197,35,39.32290863,end_adj,2
198,37,39.32290863,start_adj,2
199,48,40,join_fnol_que,2
200,49,40,join_fnol_que,3
201,40,40.11963268,end_fnol,4
202,40,40.11963268,redirected_to_other_dept,4
203,46,40.11963268,start_fnol,3
204,45,40.27408801,end_fnol,3
205,45,40.27408801,redirected_to_other_dept,3
206,47,40.27408801,start_fnol,2
207,42,41.06295562,end_fnol,2
208,42,41.06295562,join_adj_que,2
209,48,41.06295562,start_fnol,1
210,37,41.32290863,end_adj,1
211,41,41.32290863,start_adj,1
212,33,41.75655567,end_adj,1
213,42,41.75655567,start_adj,1
214,50,42,join_fnol_que,1
215,51,42,join_fnol_que,2
216,46,42.61637473,end_fnol,3
217,46,42.61637473,redirected_to_other_dept,3
218,49,42.61637473,start_fnol,2
219,52,43,join_fnol_que,2
220,53,43,join_fnol_que,3
221,54,43,join_fnol_que,4
222,44,43.06471515,end_fnol,5
223,44,43.06471515,join_adj_que,5
224,50,43.06471515,start_fnol,4
225,41,43.32290863,end_adj,4
226,44,43.32290863,start_adj,4
227,42,43.75655567,end_adj,4
228,47,43.93650683,end_fnol,4
229,47,43.93650683,redirected_to_other_dept,4
230,51,43.93650683,start_fnol,3
231,48,44.48975676,end_fnol,3
232,48,44.48975676,redirected_to_other_dept,3
233,52,44.48975676,start_fnol,2
234,55,46,join_fnol_que,2
235,56,46,join_fnol_que,3
236,57,47,join_fnol_que,4
237,58,47,join_fnol_que,5
238,58,47,balk_fnol,5
239,50,47.11455991,end_fnol,5
240,50,47.11455991,redirected_to_other_dept,5
241,53,47.11455991,start_fnol,4
242,49,47.14705792,end_fnol,4
243,49,47.14705792,join_adj_que,4
244,49,47.14705792,start_adj,3
245,54,47.14705792,start_fnol,3
246,51,47.5032869,end_fnol,3
247,51,47.5032869,redirected_to_other_dept,3
248,55,47.5032869,start_fnol,2
249,52,47.81385552,end_fnol,2
250,52,47.81385552,redirected_to_other_dept,2
251,56,47.81385552,start_fnol,1
252,53,48.70848894,end_fnol,1
253,53,48.70848894,redirected_to_other_dept,1
254,57,48.70848894,start_fnol,0
255,59,49,join_fnol_que,0
256,60,49,join_fnol_que,1
257,61,49,join_fnol_que,2
258,54,49.67241109,end_fnol,3
259,54,49.67241109,join_adj_que,3
260,59,49.67241109,start_fnol,2
261,62,50,join_fnol_que,2
262,57,51.0900992,end_fnol,3
263,57,51.0900992,redirected_to_other_dept,3
264,60,51.0900992,start_fnol,2
265,55,51.18692546,end_fnol,2
266,55,51.18692546,join_adj_que,2
267,61,51.18692546,start_fnol,1
268,56,51.93890349,end_fnol,1
269,56,51.93890349,redirected_to_other_dept,1
270,62,51.93890349,start_fnol,0
271,59,52.67139059,end_fnol,0
272,59,52.67139059,redirected_to_other_dept,0
273,44,53.32290863,end_adj,0
274,54,53.32290863,start_adj,0
275,63,54,join_fnol_que,0
276,64,54,join_fnol_que,0
277,65,54,join_fnol_que,1
278,63,54,start_fnol,2
279,66,54,join_fnol_que,2
280,67,54,join_fnol_que,3
281,49,54.18629006,end_adj,4
282,55,54.18629006,start_adj,4
283,60,54.55788851,end_fnol,4
284,60,54.55788851,join_adj_que,4
285,64,54.55788851,start_fnol,3
286,63,55.07981896,end_fnol,3
287,63,55.07981896,redirected_to_other_dept,3
288,65,55.07981896,start_fnol,2
289,62,55.50113616,end_fnol,2
290,62,55.50113616,redirected_to_other_dept,2
291,66,55.50113616,start_fnol,1
292,61,55.59503254,end_fnol,1
293,61,55.59503254,join_adj_que,1
294,67,55.59503254,start_fnol,0
295,68,57,join_fnol_que,0
