,Call_ID,Time,Activity,#_in_FNOL_Que
181,35,37.32757747,join_adj_que,0
182,35,37.32757747,start_adj,0
183,40,38.53275722,end_fnol,0
184,40,38.53275722,redirected_to_other_dept,0
185,39,38.94727751,end_fnol,0
186,39,38.94727751,redirected_to_other_dept,0
187,37,39.80407147,end_adj,0
188,42,40,join_fnol_que,0
189,43,40,join_fnol_que,0
190,44,40,join_fnol_que,0
191,42,40,start_fnol,0
192,45,40,join_fnol_que,0
193,43,40,start_fnol,1
194,44,40,start_fnol,1
195,41,40.70321596,end_fnol,1
196,41,40.70321596,join_adj_que,1
197,41,40.70321596,start_adj,0
198,45,40.70321596,start_fnol,0
199,38,40.95262936,end_fnol,0
200,38,40.95262936,redirected_to_other_dept,0
201,44,41.12642932,end_fnol,0
202,44,41.12642932,join_adj_que,0
203,44,41.12642932,start_adj,0
204,42,41.88800831,end_fnol,0
205,42,41.88800831,join_adj_que,0
206,42,41.88800831,start_adj,0
207,41,42.70321596,end_adj,0
208,46,43,join_fnol_que,0
209,46,43,start_fnol,0
210,33,43.63146291,end_adj,0
211,43,44.43325861,end_fnol,0
212,43,44.43325861,redirected_to_other_dept,0
213,45,44.93038253,end_fnol,0
214,45,44.93038253,redirected_to_other_dept,0
215,47,45,join_fnol_que,0
216,47,45,start_fnol,0
217,48,46,join_fnol_que,0
218,48,46,start_fnol,0
219,49,47,join_fnol_que,0
220,50,47,join_fnol_que,0
221,49,47,start_fnol,0
222,50,47,start_fnol,0
223,35,47.32757747,end_adj,0
224,46,47.53885983,end_fnol,0
225,46,47.53885983,redirected_to_other_dept,0
226,51,48,join_fnol_que,0
227,51,48,start_fnol,0
228,52,49,join_fnol_que,0
229,47,49.21582227,end_fnol,1
230,47,49.21582227,redirected_to_other_dept,1
231,52,49.21582227,start_fnol,0
232,42,49.22359031,end_adj,0
233,48,49.43031234,end_fnol,0
234,48,49.43031234,redirected_to_other_dept,0
235,50,49.85579501,end_fnol,0
236,50,49.85579501,redirected_to_other_dept,0
237,53,50,join_fnol_que,0
238,53,50,start_fnol,0
239,44,50.33723555,end_adj,0
240,49,50.43092781,end_fnol,0
241,49,50.43092781,join_adj_que,0
242,49,50.43092781,start_adj,0
243,51,51.71290901,end_fnol,0
244,51,51.71290901,redirected_to_other_dept,0
245,54,52,join_fnol_que,0
246,55,52,join_fnol_que,0
247,54,52,start_fnol,0
248,55,52,start_fnol,0
249,52,52.56942291,end_fnol,0
250,52,52.56942291,redirected_to_other_dept,0
